step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
670.0,14,93.0,2.3846153846153846,4.649494679008376,14,294.0,0.22357109036462486,14,294.0
675.0,20,185.0,4.625,3.116555862602121,20,386.0,0.140875385914907,20,386.0
680.0,27,307.0,7.487804878048781,1.9457296061542249,27,508.0,0.08307044167629907,27,508.0
685.0,34,464.0,11.317073170731707,0.9149333393704749,34,665.0,0.02759889365825199,34,665.0
690.0,33,468.0,11.414634146341463,1.046853903930788,33,752.0,0.04069507332529462,33,752.0
695.0,24,380.0,9.047619047619047,3.305296520245871,24,686.0,0.11260522507225688,24,686.0
700.0,15,261.0,6.365853658536586,5.130386959610757,15,591.0,0.17426491881562306,15,591.0
705.0,8,118.0,2.95,6.67245760197726,8,491.0,0.2905169463061327,8,491.0
710.0,3,37.0,1.0277777777777777,9.048512070910467,3,381.0,0.511097973065154,3,381.0
715.0,0,0.0,0.0,8.615254465713026,0,309.0,0.5156953973434263,0,309.0
720.0,5,14.0,0.3888888888888889,7.469369201464294,5,314.0,0.3841332034213705,5,314.0
725.0,12,59.0,1.5526315789473684,6.000494104592441,12,359.0,0.2987740111431296,12,359.0
730.0,17,132.0,3.3,3.930441566346739,17,432.0,0.19930601792894131,17,432.0
735.0,25,245.0,5.975609756097561,2.057324818250512,25,545.0,0.05816477922707145,25,545.0
740.0,25,254.0,5.906976744186046,2.258897720372109,25,588.0,0.08779674418755841,25,588.0
745.0,24,212.0,5.170731707317073,3.203024636948705,24,540.0,0.1254157035539166,24,540.0
750.0,15,158.0,3.761904761904762,5.297652568313722,15,400.0,0.15260228851613158,15,400.0
755.0,9,98.0,2.3902439024390243,7.368879798605907,9,337.0,0.3573708006412657,9,337.0
760.0,4,38.0,1.0,8.656264713051726,4,274.0,0.49985897104229954,4,274.0
765.0,3,6.0,0.15789473684210525,6.90612051808113,3,259.0,0.4106943408702768,3,259.0
770.0,8,35.0,0.8974358974358975,6.518663839890733,8,272.0,0.35189850996219957,8,272.0
775.0,15,96.0,2.4,5.414046952907255,15,333.0,0.21587582418943443,15,333.0
780.0,22,195.0,4.7560975609756095,3.4156636005720546,22,432.0,0.13329890265604585,22,432.0
785.0,29,326.0,8.15,1.6162242510930003,29,563.0,0.04735781731293545,29,563.0
790.0,36,490.0,12.25,0.7128354873050691,36,729.0,0.024755952024876408,36,729.0
795.0,32,496.0,12.4,1.2031691279737777,32,813.0,0.044545593894137335,32,813.0
800.0,22,372.0,9.3,3.2318679280882856,22,772.0,0.09769949728523629,22,772.0
805.0,15,264.0,6.769230769230769,5.115262768004508,15,616.0,0.13167848038699823,15,616.0
810.0,7,130.0,3.7142857142857144,6.8649769778801355,7,485.0,0.28087053714024535,7,485.0
815.0,1,11.0,0.34375,9.068324096609786,1,401.0,0.5288884130143889,1,401.0
820.0,1,1.0,0.034482758620689655,8.478465037010732,1,344.0,0.508285829305545,1,344.0
825.0,5,19.0,0.6333333333333333,6.002794484323972,5,362.0,0.28607530378824303,5,362.0
830.0,12,64.0,2.064516129032258,3.7859175302961026,12,407.0,0.2055836113587573,12,407.0
835.0,17,139.0,4.088235294117647,2.164576389809781,17,482.0,0.15524768256043353,17,482.0
840.0,22,243.0,6.075,1.6749224534461007,22,588.0,0.09778561041210397,22,588.0
845.0,31,384.0,9.365853658536585,1.3399006853174835,31,729.0,0.051416357693816576,31,729.0
850.0,37,558.0,12.976744186046512,1.570321622408126,37,904.0,0.02394802554188726,37,904.0
855.0,32,549.0,13.071428571428571,1.845594987847037,32,969.0,0.06731088334756824,32,969.0
860.0,22,400.0,10.0,3.040146148265118,22,887.0,0.11870339421140112,22,887.0
865.0,15,289.0,7.048780487804878,5.048403578579961,15,669.0,0.1756245268574942,15,669.0
870.0,7,124.0,3.263157894736842,7.109989312458029,7,519.0,0.32338365115357187,7,519.0
875.0,2,23.0,0.6764705882352942,8.93495088493166,2,407.0,0.5154942158115726,2,407.0
880.0,0,0.0,0.0,8.441427985865635,0,337.0,0.5010303250551943,0,337.0
885.0,7,19.0,0.5757575757575758,7.0424581587782065,7,354.0,0.35260645505718174,7,354.0
890.0,11,64.0,1.9393939393939394,5.00710081972048,11,399.0,0.22817545083420435,11,399.0
895.0,18,141.0,4.40625,2.7519862031932103,18,477.0,0.17455173466802684,18,477.0
900.0,24,249.0,7.114285714285714,1.6112653489975515,24,585.0,0.06545494832410272,24,585.0
905.0,29,384.0,10.105263157894736,0.9945260893620728,29,720.0,0.024733988916836053,29,720.0
910.0,29,379.0,9.24390243902439,1.5562780974111514,29,767.0,0.09131486297139182,29,767.0
915.0,22,278.0,6.318181818181818,4.067785875562478,22,698.0,0.2063943437824463,22,698.0
920.0,15,199.0,4.5227272727272725,5.557290415832006,15,502.0,0.22657656097354545,15,502.0
925.0,8,91.0,2.2195121951219514,6.399667713978555,8,419.0,0.29695599877546636,8,419.0
930.0,6,39.0,1.0263157894736843,8.146733873820892,6,326.0,0.4429237448893851,6,326.0
935.0,4,11.0,0.28205128205128205,7.3616393140329865,4,330.0,0.434799429082883,4,330.0
940.0,9,40.0,1.0256410256410255,6.79876722201994,9,331.0,0.38067162320136155,9,331.0
945.0,15,102.0,2.4878048780487805,5.597065166108746,15,389.0,0.23391026649046384,15,389.0
950.0,21,195.0,4.431818181818182,4.177483921150468,21,482.0,0.18764762740987043,21,482.0
955.0,29,320.0,7.2727272727272725,2.731194143730528,29,608.0,0.11576908726003224,29,608.0
960.0,34,474.0,10.533333333333333,2.1453083198545952,34,763.0,0.0890455077053385,34,763.0
965.0,32,473.0,10.75,1.9701766731705441,32,833.0,0.06497040756573136,32,833.0
970.0,24,351.0,7.9772727272727275,3.497351252036135,24,781.0,0.11754427394933614,24,781.0
975.0,15,240.0,5.333333333333333,5.684656187802252,15,610.0,0.24568954925109476,15,610.0
980.0,8,103.0,2.395348837209302,6.7902144949283265,8,498.0,0.3344702563061517,8,498.0
985.0,5,53.0,1.394736842105263,7.662542585077972,5,385.0,0.370417016189211,5,385.0
990.0,7,84.0,2.27027027027027,8.215925814755007,7,307.0,0.4585006240889937,7,307.0
995.0,3,11.0,0.2972972972972973,7.571993821817279,3,261.0,0.45367309593772115,3,261.0
1000.0,6,20.0,0.5263157894736842,7.273620775689396,6,231.0,0.3844358495396335,6,231.0
1005.0,12,68.0,1.7894736842105263,5.563032650524465,12,269.0,0.22476630561292074,12,269.0
